scenario,model,episode_id,reward
narrow_corridor,CA,30,-22.7000
narrow_corridor,SA,1,1.3000
narrow_corridor,SA,2,1.5000
narrow_corridor,SA,3,-16.2000
narrow_corridor,SA,4,2.0000
narrow_corridor,SA,5,1.6000
narrow_corridor,SA,6,-45.1000
narrow_corridor,SA,7,1.6000
narrow_corridor,SA,8,-31.6000
narrow_corridor,SA,9,-28.2000
narrow_corridor,SA,10,-19.9000
narrow_corridor,SA,11,-0.9000
narrow_corridor,SA,12,1.6000
narrow_corridor,SA,13,0.0000
narrow_corridor,SA,14,1.8000
narrow_corridor,SA,15,1.6000
narrow_corridor,SA,16,1.6000
narrow_corridor,SA,17,1.6000
narrow_corridor,SA,18,1.6000
narrow_corridor,SA,19,1.3000
narrow_corridor,SA,20,1.6000
narrow_corridor,SA,21,1.3000
narrow_corridor,SA,22,1.8000
narrow_corridor,SA,23,1.6000
narrow_corridor,SA,24,-86.4000
narrow_corridor,SA,25,2.0000
narrow_corridor,SA,26,-0.2000
narrow_corridor,SA,27,1.6000
narrow_corridor,SA,28,1.6000
narrow_corridor,SA,29,1.5000
narrow_corridor,SA,30,-20.5000
extreme_wind,CA,1,-61.0000
extreme_wind,CA,2,-125.7000
extreme_wind,CA,3,-245.8000
extreme_wind,CA,4,-144.0000
extreme_wind,CA,5,-87.0000
extreme_wind,CA,6,-215.3000
extreme_wind,CA,7,-197.5000
extreme_wind,CA,8,-71.9000
extreme_wind,CA,9,-98.6000
extreme_wind,CA,10,-159.4000
extreme_wind,CA,11,-202.4000
extreme_wind,CA,12,-244.5000
extreme_wind,CA,13,-189.3000
extreme_wind,CA,14,-23.3000
extreme_wind,CA,15,-194.5000
extreme_wind,CA,16,-217.4000
extreme_wind,CA,17,-194.8000
extreme_wind,CA,18,-65.3000
extreme_wind,CA,19,-80.2000
extreme_wind,CA,20,-177.9000
extreme_wind,CA,21,-126.4000
extreme_wind,CA,22,-193.6000
extreme_wind,CA,23,-226.2000
extreme_wind,CA,24,-133.6000
extreme_wind,CA,25,-113.7000
extreme_wind,CA,26,-204.4000
extreme_wind,CA,27,-218.4000
extreme_wind,CA,28,-7.2000
extreme_wind,CA,29,-214.2000
extreme_wind,CA,30,-169.2000
extreme_wind,SA,1,-41.6000
extreme_wind,SA,2,-336.6000
extreme_wind,SA,3,-208.8000
extreme_wind,SA,4,2.0000
extreme_wind,SA,5,-112.8000
extreme_wind,SA,6,-152.2000
extreme_wind,SA,7,-93.8000
extreme_wind,SA,8,-292.7000
extreme_wind,SA,9,2.0000
extreme_wind,SA,10,-133.9000
extreme_wind,SA,11,-193.9000
extreme_wind,SA,12,-215.8000
extreme_wind,SA,13,-80.9000
extreme_wind,SA,14,-7.0000
extreme_wind,SA,15,-240.3000
extreme_wind,SA,16,-238.6000
extreme_wind,SA,17,-58.0000
extreme_wind,SA,18,-48.2000
extreme_wind,SA,19,-80.9000
extreme_wind,SA,20,-122.4000
extreme_wind,SA,21,-49.4000
extreme_wind,SA,22,-171.7000
extreme_wind,SA,23,-208.2000
extreme_wind,SA,24,-75.3000
extreme_wind,SA,25,2.0000
extreme_wind,SA,26,1.1000
extreme_wind,SA,27,-171.2000
extreme_wind,SA,28,-16.6000
extreme_wind,SA,29,1.5000
extreme_wind,SA,30,-279.1000
fuel_depletion,CA,1,1.1000
fuel_depletion,CA,2,1.3000
fuel_depletion,CA,3,1.6000
fuel_depletion,CA,4,0.6000
fuel_depletion,CA,5,1.6000
fuel_depletion,CA,6,-2.4000
fuel_depletion,CA,7,1.6000
fuel_depletion,CA,8,1.8000
fuel_depletion,CA,9,1.1000
fuel_depletion,CA,10,1.6000
fuel_depletion,CA,11,1.6000
fuel_depletion,CA,12,1.6000
fuel_depletion,CA,13,1.1000
fuel_depletion,CA,14,1.8000
fuel_depletion,CA,15,1.6000
fuel_depletion,CA,16,1.6000
fuel_depletion,CA,17,1.6000
fuel_depletion,CA,18,1.6000
fuel_depletion,CA,19,1.1000
fuel_depletion,CA,20,1.6000
fuel_depletion,CA,21,1.6000
fuel_depletion,CA,22,0.3000
fuel_depletion,CA,23,1.6000
fuel_depletion,CA,24,1.1000
fuel_depletion,CA,25,1.8000
fuel_depletion,CA,26,0.8000
fuel_depletion,CA,27,1.6000
