#{"t_start": 1777575685.8766642, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-210.8,100,30.886071,0,0,0,0.0,0
-157.5,100,30.969583,0,0,0,0.0,0
-78.0,100,31.052385,0,0,0,0.0,0
-191.8,100,31.129181,0,0,0,0.0,0
-1.0,100,31.217767,0,0,0,0.0,0
2.0,100,31.297759,0,0,0,0.0,0
-208.1,100,31.385268,0,0,0,0.0,0
-220.1,100,31.47532,0,0,0,0.0,0
-196.2,100,31.556184,0,0,0,0.0,0
-217.0,100,31.630837,0,0,0,0.0,0
-207.5,100,31.705999,0,0,0,0.0,0
-188.7,100,32.781195,0,0,0,0.0,0
-207.5,100,32.859681,0,0,0,0.0,0
-206.2,100,32.93708,0,0,0,0.0,0
-229.5,100,33.015314,0,0,0,0.0,0
-204.0,100,33.102084,0,0,0,0.0,0
-206.3,100,33.178832,0,0,0,0.0,0
-187.1,100,33.253854,0,0,0,0.0,0
-156.6,100,33.346164,0,0,0,0.0,0
-37.8,100,33.430079,0,0,0,0.0,0
1.6,100,33.514394,0,0,0,0.0,0
-190.8,100,33.59417,0,0,0,0.0,0
-0.2,100,33.679136,0,0,0,0.0,0
-195.0,100,33.756456,0,0,0,0.0,0
-212.1,100,33.835977,0,0,0,0.0,0
-208.1,100,33.920259,0,0,0,0.0,0
-115.7,100,34.006159,0,0,0,0.0,0
-128.7,100,34.09183,0,0,0,0.0,0
-187.3,100,34.180926,0,0,0,0.0,0
-192.9,100,34.262105,0,0,0,0.0,0
-202.9,100,34.368176,0,0,0,0.0,0
-218.9,100,35.480911,0,0,0,0.0,0
-215.8,100,35.553659,0,0,0,0.0,0
-169.1,100,35.652211,0,0,0,0.0,0
-211.2,100,35.735471,0,0,0,0.0,0
-217.9,100,35.807521,0,0,0,0.0,0
-36.6,100,35.905109,0,0,0,0.0,0
-202.4,100,35.985897,0,0,0,0.0,0
-208.6,100,36.06415,0,0,0,0.0,0
-0.4,100,36.154322,0,0,0,0.0,0
-200.6,100,36.235966,0,0,0,0.0,0
-142.1,100,36.318893,0,0,0,0.0,0
-195.7,100,36.395798,0,0,0,0.0,0
-175.5,100,36.486167,0,0,0,0.0,0
1.2,100,36.580925,0,0,0,0.0,0
-209.0,100,36.661161,0,0,0,0.0,0
