step,calibration,seed,fire_cells
58,saudi,4,0
59,saudi,4,0
60,saudi,4,0
61,saudi,4,0
62,saudi,4,0
63,saudi,4,0
64,saudi,4,0
65,saudi,4,0
66,saudi,4,0
67,saudi,4,0
68,saudi,4,0
69,saudi,4,0
70,saudi,4,0
71,saudi,4,0
72,saudi,4,0
73,saudi,4,0
74,saudi,4,0
75,saudi,4,0
76,saudi,4,0
77,saudi,4,0
78,saudi,4,0
79,saudi,4,0
80,saudi,4,0
81,saudi,4,0
82,saudi,4,0
83,saudi,4,0
84,saudi,4,0
85,saudi,4,0
86,saudi,4,0
87,saudi,4,0
88,saudi,4,0
89,saudi,4,0
90,saudi,4,0
91,saudi,4,0
92,saudi,4,0
93,saudi,4,0
94,saudi,4,0
95,saudi,4,0
96,saudi,4,0
97,saudi,4,0
98,saudi,4,0
99,saudi,4,0
