#{"t_start": 1777574821.3629181, "env_id": "None"}
r,l,t,fire_cells,burning_population,newly_burned,fire_delta,new_ignitions
-180.6,100,42.394794,14,0,0,1.0,5
-242.7,100,42.480758,0,0,0,0.0,0
-181.7,100,42.571635,0,0,0,0.0,0
-102.3,100,42.662702,0,0,0,0.0,0
-5.5,100,42.749969,0,0,0,0.0,0
-192.3,100,42.849954,0,0,0,0.0,0
-219.8,100,42.94487,0,0,0,0.0,0
-196.1,100,43.032056,0,0,0,0.0,0
-92.6,100,43.123027,0,0,0,0.0,0
-9.6,100,43.218846,0,0,0,0.0,0
0.9,100,43.305418,0,0,0,0.0,0
-163.4,100,43.389428,0,0,0,0.0,0
-28.1,100,43.473174,0,0,0,0.0,0
-115.5,100,43.55992,0,0,0,0.0,0
-64.5,100,43.656544,0,0,0,0.0,0
-16.7,100,44.800098,0,0,0,0.0,0
-167.6,100,44.882766,0,0,0,0.0,0
-169.0,100,44.965924,0,0,0,0.0,0
-65.2,100,45.062392,0,0,0,0.0,0
-190.8,100,45.156608,0,0,0,0.0,0
-73.4,100,45.242717,0,0,0,0.0,0
-112.7,100,45.327589,0,0,0,0.0,0
-175.7,100,45.424664,0,0,0,0.0,0
-125.6,100,45.517502,0,0,0,0.0,0
-112.6,100,45.612729,0,0,0,0.0,0
-112.2,100,45.699777,0,0,0,0.0,0
2.0,100,45.7925,0,0,0,0.0,0
-174.6,100,45.875386,0,0,0,0.0,0
2.0,100,45.970388,0,0,0,0.0,0
-1.3,100,46.067096,0,0,0,0.0,0
-2.9,100,46.167104,0,0,0,0.0,0
-241.4,100,46.250051,0,0,0,0.0,0
-188.9,100,46.338814,0,0,0,0.0,0
1.4,100,46.417323,0,0,0,0.0,0
-38.4,100,46.520221,0,0,0,0.0,0
2.0,100,47.601985,0,0,0,0.0,0
-77.6,100,47.69287,0,0,0,0.0,0
-43.7,100,47.784234,0,0,0,0.0,0
-86.9,100,47.873981,0,0,0,0.0,0
-176.6,100,47.95823,0,0,0,0.0,0
-193.8,100,48.04994,0,0,0,0.0,0
-0.6,100,48.14282,0,0,0,0.0,0
-91.9,100,48.23053,0,0,0,0.0,0
-219.0,100,48.322079,0,0,0,0.0,0
-166.5,100,48.412074,0,0,0,0.0,0
0.5,100,48.502757,0,0,0,0.0,0
0.6,100,48.599863,0,0,0,0.0,0
-189.6,100,48.685501,0,0,0,0.0,0
-186.2,100,48.771004,0,0,0,0.0,0
-204.9,100,50.392871,0,0,0,0.0,0
